tanggal,value,temp_mini_tank,temp_nozzle,temp_nozzle_filler
2023-01-23 00:00:00,115,-177.0,24.0,-176.0
2023-01-30 07:00:00,114,-177.0,24.0,-171.0
2023-01-30 10:00:00,114,-176.0,24.0,-186.0
2023-01-30 11:00:00,113,-177.0,24.0,-179.0
2023-01-31 11:00:00,112,-177.0,25.0,-172.0
2023-02-05 10:00:00,105,-178.0,25.0,-191.0
2023-02-12 08:00:00,113,-173.0,25.0,-167.0
2023-02-13 05:00:00,115,-175.0,24.0,-164.0
2023-02-13 11:00:00,114,-176.0,24.0,-167.0
2023-02-15 09:00:00,108,-178.0,21.0,-165.0
2023-02-24 01:00:00,112,-178.0,22.0,-164.0
2023-02-27 09:00:00,110,-181.0,21.0,-191.0
2023-02-27 10:00:00,112,-179.0,21.0,-188.0
2023-02-27 11:00:00,110,-179.0,21.0,-188.0
2023-03-04 10:00:00,111,-178.0,20.0,-190.0
2023-03-04 11:00:00,113,-179.0,20.0,-173.0
2023-03-05 09:00:00,118,-179.0,21.0,-175.0
2023-03-06 09:00:00,115,-180.0,21.0,-187.0
2023-03-06 10:00:00,111,-180.0,21.0,-190.0
2023-03-06 11:00:00,114,-179.0,21.0,-169.0
2023-03-11 06:00:00,111,-179.0,22.0,-165.0
2023-03-12 02:00:00,113,-179.0,20.0,-172.0
2023-03-12 04:00:00,115,-179.0,21.0,-161.0
2023-03-18 04:00:00,115,-179.0,20.0,-187.0
2023-03-19 03:00:00,117,-179.0,21.0,-189.0
2023-03-19 05:00:00,114,-180.0,21.0,-188.0
2023-03-28 08:00:00,115,-178.0,23.0,-188.0
2023-03-28 09:00:00,110,-179.0,22.0,-173.0
2023-03-28 10:00:00,112,-179.0,22.0,-178.0
2023-03-29 09:00:00,108,-179.0,21.0,-184.0
2023-03-30 08:00:00,114,-180.0,20.0,-187.0
2023-03-30 11:00:00,113,-180.0,21.0,-190.0
2023-04-03 04:00:00,120,-178.0,21.0,-167.0
2023-04-03 08:00:00,111,-179.0,21.0,-178.0
2023-04-03 11:00:00,108,-179.0,20.0,-170.0
2023-04-04 07:00:00,111,-178.0,21.0,-166.0
2023-04-04 08:00:00,112,-178.0,21.0,-183.0
2023-04-04 09:00:00,111,-179.0,21.0,-172.0
2023-04-04 10:00:00,116,-178.0,20.0,-183.0
2023-04-05 09:00:00,111,-180.0,21.0,-175.0
2023-04-05 10:00:00,108,-179.0,21.0,-174.0
2023-04-06 09:00:00,115,-179.0,21.0,-176.0
2023-04-06 10:00:00,112,-177.0,21.0,-162.0
2023-04-06 11:00:00,111,-178.0,21.0,-161.0
2023-04-07 09:00:00,112,-179.0,21.0,-190.0
2023-04-16 13:00:00,107,-181.0,21.0,-190.0
2023-05-05 09:00:00,108,-180.0,22.0,-176.0
2023-05-05 10:00:00,114,-179.0,22.0,-180.0
2023-05-06 05:00:00,111,-180.0,21.0,-191.0
2023-05-07 10:00:00,107,-179.0,22.0,-189.0
2023-05-07 11:00:00,107,-180.0,21.0,-182.0
2023-05-08 09:00:00,113,-182.0,21.0,-182.0
2023-05-08 10:00:00,110,-181.0,21.0,-173.0
2023-05-08 11:00:00,111,-181.0,21.0,-185.0
2023-05-15 09:00:00,113,-181.0,22.0,-176.0
2023-05-15 10:00:00,114,-181.0,22.0,-179.0
2023-05-15 11:00:00,112,-181.0,22.0,-170.0
2023-05-16 06:00:00,115,-181.0,21.0,-190.0
2023-05-16 09:00:00,114,-180.0,21.0,-175.0
2023-05-16 10:00:00,110,-181.0,21.0,-191.0
2023-05-16 11:00:00,109,-180.0,22.0,-184.0
2023-05-23 09:00:00,114,-180.0,22.0,-188.0
2023-05-24 09:00:00,113,-180.0,22.0,-190.0
2023-05-24 10:00:00,111,-180.0,22.0,-179.0
2023-05-25 09:00:00,111,-181.0,22.0,-191.0
2023-05-25 10:00:00,112,-178.0,22.0,-183.0
2023-05-25 11:00:00,111,-181.0,22.0,-175.0
2023-05-25 00:00:00,112,-181.0,22.0,-170.0
2023-05-26 03:00:00,109,-181.0,22.0,-181.0
2023-05-26 04:00:00,111,-181.0,22.0,-189.0
2023-05-27 02:00:00,116,-181.0,22.0,-191.0
2023-05-27 04:00:00,115,-181.0,22.0,-191.0
2023-05-28 01:00:00,111,-182.0,21.0,-172.0
2023-05-28 02:00:00,110,-182.0,21.0,-186.0
2023-05-28 06:00:00,113,-182.0,21.0,-189.0
2023-05-28 07:00:00,115,-182.0,21.0,-177.0
2023-05-28 08:00:00,111,-182.0,21.0,-175.0
2023-05-28 09:00:00,111,-182.0,21.0,-192.0
2023-06-03 10:00:00,109,-175.0,22.0,-189.0
2023-06-05 09:00:00,115,-179.0,21.0,-187.0
2023-06-05 10:00:00,111,-180.0,21.0,-190.0
2023-06-05 11:00:00,105,-179.0,21.0,-180.0
2023-06-06 11:00:00,109,-178.0,22.0,-173.0
2023-06-07 11:00:00,106,-179.0,22.0,-176.0
2023-06-13 06:00:00,114,-179.0,22.0,-166.0
2023-06-13 10:00:00,111,-180.0,21.0,-172.0
2023-06-14 09:00:00,110,-181.0,21.0,-180.0
2023-06-14 10:00:00,111,-180.0,21.0,-189.0
2023-06-14 11:00:00,110,-180.0,21.0,-192.0
2023-06-15 02:00:00,109,-180.0,21.0,-189.0
2023-06-15 09:00:00,111,-180.0,21.0,-180.0
2023-06-15 10:00:00,109,-180.0,21.0,-178.0
2023-06-15 11:00:00,106,-180.0,21.0,-186.0
2023-06-15 00:00:00,113,-181.0,21.0,-191.0
2023-06-19 09:00:00,107,-179.0,23.0,-159.0
2023-06-20 04:00:00,115,-179.0,21.0,-159.0
2023-06-21 05:00:00,114,-179.0,21.0,-165.0
2023-06-21 06:00:00,112,-178.0,21.0,-167.0
2023-06-21 08:00:00,115,-180.0,21.0,-174.0
2023-06-21 09:00:00,110,-178.0,21.0,-161.0
2023-06-21 10:00:00,111,-180.0,21.0,-177.0
2023-06-22 05:00:00,113,-179.0,21.0,-189.0
2023-06-22 09:00:00,110,-180.0,21.0,-189.0
2023-06-22 10:00:00,109,-179.0,21.0,-162.0
2023-06-22 11:00:00,112,-179.0,21.0,-190.0
2023-06-23 10:00:00,119,-179.0,21.0,-163.0
2023-06-24 04:00:00,116,-180.0,21.0,-176.0
2023-06-24 05:00:00,115,-180.0,21.0,-190.0
2023-06-24 08:00:00,118,-177.0,21.0,-187.0
2023-06-25 01:00:00,115,-181.0,21.0,-191.0
2023-06-30 04:00:00,111,-177.0,21.0,-171.0
2023-07-04 01:00:00,109,-178.0,21.0,-189.0
2023-07-04 11:00:00,105,-177.0,22.0,-189.0
2023-07-05 01:00:00,116,-179.0,20.0,-167.0
2023-07-28 08:00:00,119,-180.0,22.0,-188.0
2023-08-02 06:00:00,116,-179.0,25.0,-164.0
2023-08-02 07:00:00,116,-179.0,24.0,-170.0
2023-08-02 11:00:00,108,-180.0,23.0,-175.0
2023-08-03 08:00:00,115,-179.0,22.0,-169.0
2023-08-03 09:00:00,115,-178.0,22.0,-167.0
2023-08-03 10:00:00,111,-179.0,22.0,-183.0
2023-08-03 11:00:00,110,-180.0,21.0,-178.0
2023-08-04 08:00:00,116,-180.0,22.0,-189.0
2023-08-04 09:00:00,115,-180.0,22.0,-171.0
2023-08-04 10:00:00,116,-180.0,22.0,-163.0
2023-08-04 11:00:00,112,-180.0,22.0,-165.0
