tanggal,lotno2,prod_order2,value,temp_mini_tank,temp_nozzle,temp_nozzle_filler,reject
2024-01-02 01:00:00,02.11.24 K2,2147483647,127,-176,21,-176,0
2024-01-02 02:00:00,03.11.24 K2,2147483647,125,-177,21,-165,0
2024-01-02 03:00:00,03.11.24 K2,2147483647,124,-177,20,-188,0
2024-01-02 04:00:00,03.11.24 K2,2147483647,126,-177,20,-158,0
2024-01-02 06:00:00,03.11.24 K2,2147483647,129,-178,20,-171,0
2024-01-02 07:00:00,HSD 05/11/24,2147483647,134,-178,21,-159,0
2024-01-02 08:00:00,HSD 06/11/24,2147483647,128,-176,22,-155,0
2024-01-02 11:00:00,HSD 06/11/24,2147483647,126,-177,21,-185,0
2024-01-02 00:00:00,HSD 06/11/24,2147483647,129,-177,20,-179,0
